Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,2503,1500
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.1,2503,1500
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.5,335,1000
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.5,335,1000
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.1,922,2200
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,922,2200
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.1,922,2200
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.1,922,2200
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.1,38,2000
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.1,38,2000
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,Chinese,4.3,1378,1500
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Thai,4.3,1378,1500
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.4,610,1700
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Barbecue,4.4,610,1700
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.4,610,1700
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,4.3,167,1000
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Andhra,4.3,167,1000
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Seafood,4.3,167,1000
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,Mughlai,4.1,181,800
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Biryani,4.1,181,800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,3.8,110,1800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,3.8,110,1800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.8,110,1800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mexican,3.8,110,1800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,3.8,110,1800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,3.8,110,1800
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,4.0,3270,1200
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Continental,4.0,3270,1200
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Oriental ,4.0,3270,1200
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Italian,4.0,3270,1200
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,  Street Food,4.0,3270,1200
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,North Indian,4.1,147,2200
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,  Mughlai,4.1,147,2200
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.0,65,2100
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.0,65,2100
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.0,65,2100
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,North Indian,4.0,180,1800
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,  Mughlai,4.0,180,1800
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Italian,4.1,69,1200
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,  Thai,4.1,69,1200
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,Chinese,4.1,91,2000
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Thai,4.1,91,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.2,92,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Finger Food,4.2,92,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.2,92,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.2,92,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,92,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.2,92,2000
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,Mexican,4.0,37,500
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Tex Mex,4.0,37,500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,75,2500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.2,75,2500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Seafood,4.2,75,2500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.2,75,2500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.2,75,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,3.9,574,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,3.9,574,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.9,574,2500
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.1,158,1800
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.1,158,1800
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Coffee,4.1,158,1800
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,Chinese,4.4,69,2200
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Thai,4.4,69,2200
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,4.4,69,2200
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.4,69,2200
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.4,69,2200
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  South Indian,3.8,263,1800
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,3.8,263,1800
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.2,276,2800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.2,276,2800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,276,2800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,276,2800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,  European,4.2,276,2800
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.1,43,2200
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,43,2200
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.1,43,2200
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,Biryani,4.2,187,1200
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Hyderabadi,4.2,187,1200
